basis_type,dimension,sigma,acceptance_rate,status,time
identity,4,2.9195515319296375,0.44,success,1.3254258632659912
identity,8,3.0669730269768105,0.3333333333333333,success,0.04551196098327637
q-ary,8,1.0,1.0,success,0.08726882934570312
q-ary,16,1.0,1.0,success,0.3724982738494873
NTRU,512,5.542788107081129,0.0,success,0.08286190032958984
PrimeCyclotomic,683,1.848648154733615,0.0,success,0.10992622375488281
q-ary,32,1.0,1.0,success,6.109021902084351
identity,4,2.9195515319296375,0.44,success,1.3254258632659912
identity,8,3.0669730269768105,0.3333333333333333,success,0.04551196098327637
q-ary,8,1.0,1.0,success,0.08726882934570312
q-ary,16,1.0,1.0,success,0.3724982738494873
NTRU,512,5.542788107081129,0.0,success,0.08286190032958984
PrimeCyclotomic,683,1.848648154733615,0.0,success,0.10992622375488281
q-ary,32,1.0,1.0,success,6.109021902084351
